(a, b): f, c, d, e, g, h, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, m): j, f, e, n, q, u, y, z, zf, zm, zy, zzw, zzzg, zzzp, o, p, zo, zz, zzl, zzq, zzx, zzza, zzzc, b, c, d, g, h, i, k, l, r, s, t, v, w, za, zb, zc, zd, ze, zg, zh, zi, zj, zk, zl, zn, zp, zq, zr, zt, zu, zv, zw, zx, zza, zzb, zzc, zzd, zze, zzf, zzg, zzh, zzi, zzj, zzk, zzm, zzn, zzo, zzp, zzr, zzs, zzt, zzu, zzv, zzy, zzzb, zzzd, zzze, zzzf, zzzh, zzzi, zzzj, zzzk, zzzl, zzzm, zzzn, zzzo, zzzr, zzzt, zzzu, zzzv, x, zs, zzz, zzzq, zzzs
(a, n): f, b, c, d, e, g, h, i, j, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, o): f, b, c, d, e, g, h, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, p, q, x, y, z, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, p): f, b, c, d, e, g, h, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, q, x, y, z, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, q): c, i, l, m, j, b, d, o, za, zo, zza, zzzn, zzzr, zzzv, s, zi, zq, zzg, zzza, zzzb, zzzh, e, f, h, g, k, n, p, r, t, u, v, w, x, z, zc, zd, ze, zf, zg, zh, zj, zk, zl, zm, zn, zp, zs, zt, zv, zw, zx, zy, zz, zzc, zzd, zzf, zzh, zzi, zzj, zzk, zzm, zzn, zzo, zzp, zzq, zzr, zzs, zzt, zzu, zzv, zzw, zzx, zzy, zzz, zzzc, zzzd, zzze, zzzf, zzzg, zzzi, zzzj, zzzk, zzzm, zzzo, zzzp, zzzq, zzzt, zzzu, y, zb, zu, zzb, zze, zzl, zzzl, zr, zzzs
(a, r): f, b, c, d, e, g, h, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, s): f, b, c, d, e, g, h, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, zd, zr, zzzd
(a, t): f, b, c, d, e, g, h, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, u): e, l, m, r, f, t, x, z, zn, zs, zzb, zzf, zzh, zd, zr, zzm, zzn, zzx, b, c, d, g, h, i, j, k, n, o, p, q, s, v, w, y, za, zb, zc, ze, zf, zh, zi, zj, zk, zl, zm, zo, zq, zt, zu, zv, zw, zx, zy, zz, zza, zzd, zze, zzg, zzi, zzj, zzk, zzl, zzo, zzp, zzq, zzr, zzs, zzt, zzu, zzv, zzw, zzy, zzz, zzza, zzzb, zzzc, zzzd, zzze, zzzf, zzzh, zzzi, zzzj, zzzk, zzzl, zzzm, zzzn, zzzo, zzzp, zzzq, zzzr, zzzs, zzzt, zzzu, zzzv, zg, zp, zzc, zzzg
(a, v): f, b, c, d, e, g, h, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, w): f, b, c, d, e, g, h, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, x): f, b, c, d, e, g, h, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, y, z, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, y): h, j, i, m, p, e, c, zi, zl, zq, zzw, zzzl, zzzm, zzzs, zzj, zzk, zzl, zzzq, b, d, f, g, k, l, n, o, q, r, s, t, u, v, w, x, z, za, zb, zc, zd, ze, zf, zg, zk, zm, zn, zo, zp, zr, zs, zt, zu, zv, zw, zx, zy, zz, zza, zzb, zzc, zzd, zze, zzf, zzg, zzh, zzi, zzm, zzn, zzo, zzp, zzq, zzr, zzs, zzt, zzu, zzv, zzx, zzy, zzza, zzzb, zzzc, zzzd, zzze, zzzf, zzzg, zzzh, zzzi, zzzj, zzzk, zzzn, zzzo, zzzp, zzzt, zzzu, zzzv, zh, zj, zzzr, zzz
(a, z): f, b, c, d, e, g, h, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, za): f, b, c, d, e, g, h, i, j, n, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, zb): f, b, c, d, e, g, h, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, zc): f, b, c, d, e, g, h, i, j, n, za, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, zd): f, b, c, d, e, g, h, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zr, zzzd
(a, ze): f, b, c, d, e, g, h, i, j, n, za, zc, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, zf): f, b, c, d, e, g, h, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, zg): f, b, c, d, e, g, h, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zf, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, zh): f, b, c, d, e, g, h, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zf, zg, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, zi): f, b, c, d, e, g, h, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zf, zg, zh, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, zj): f, b, c, d, e, g, h, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, zk): f, b, c, d, e, g, h, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zf, zg, zh, zi, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, zl): f, b, c, d, e, g, h, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, zm): f, b, c, d, e, g, h, i, j, n, za, zc, ze, zzh, zzr, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, zn): f, b, c, d, e, g, h, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, zo): f, b, c, d, e, g, h, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zf, zg, zh, zi, zk, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
